112 2018-02-12 01:44:31.202294    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=5/1280, ttl=63 (request in 107) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
113 2018-02-12 01:44:31.222122    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=1/256, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
114 2018-02-12 01:44:31.222126 IntelCor_81:49:14 -> IntelCor_82:2c:7c ARP Who has 10.10.1.2?  Tell 10.10.1.1 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
115 2018-02-12 01:44:31.222146    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=2/512, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
116 2018-02-12 01:44:31.222150 IntelCor_82:2c:7c -> IntelCor_81:49:14 ARP 10.10.1.2 is at 90:e2:ba:82:2c:7c 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
117 2018-02-12 01:44:31.222154    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=3/768, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
118 2018-02-12 01:44:31.222160    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=4/1024, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
119 2018-02-12 01:44:31.222176    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=5/1280, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
120 2018-02-12 01:44:31.222195    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b7, seq=14/3584, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
121 2018-02-12 01:44:31.222268    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=1/256, ttl=63 (request in 113) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
122 2018-02-12 01:44:31.222285    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=2/512, ttl=63 (request in 115) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
123 2018-02-12 01:44:31.222292    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=3/768, ttl=63 (request in 117) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
124 2018-02-12 01:44:31.222297    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=4/1024, ttl=63 (request in 118) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
125 2018-02-12 01:44:31.222310    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b6, seq=5/1280, ttl=63 (request in 119) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
126 2018-02-12 01:44:31.222322    10.10.2.1 -> 10.10.1.1    ICMP Echo (ping) reply    id=0x51b7, seq=14/3584, ttl=63 (request in 120) 90:e2:ba:82:2c:7c -> 90:e2:ba:81:49:14
127 2018-02-12 01:44:31.242122    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=1/256, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
128 2018-02-12 01:44:31.242129 IntelCor_81:49:14 -> IntelCor_82:2c:7c ARP Who has 10.10.1.2?  Tell 10.10.1.1 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
129 2018-02-12 01:44:31.242146    10.10.1.1 -> 10.10.2.1    ICMP Echo (ping) request  id=0x51b6, seq=2/512, ttl=64 90:e2:ba:81:49:14 -> 90:e2:ba:82:2c:7c
